run,group,config,replicate,step,reward,entropy,kl,step_seconds,format,correct,ac_tokens_per_turn,frac_all_bad,grad_norm,time/compute_delta_diff,time/total
small-fft-a,small,fullft,a,23,0.7453125,0.28624510765075684,0.0006909515359438956,52.04425066395197,0.953125,0.75,304.40625,0.0,15424.0,0.34239375600009225,52.04425066395197
small-fft-a,small,fullft,a,24,0.49062500000000003,0.31282272934913635,0.0006067450740374625,47.066456379019655,0.90625,0.5,315.9375,0.0,13824.0,0.34151805299916305,47.066456379019655
small-fft-a,small,fullft,a,25,0.8375,0.308326780796051,0.00045408951700665057,43.095639629988,0.9375,0.84375,315.34375,0.0,14976.0,0.3431261380028445,43.095639629988
small-fft-a,small,fullft,a,26,0.9203125,0.3389616310596466,0.0006781748961657286,45.48625773598906,0.984375,0.921875,270.375,0.0,11072.0,0.346693100000266,45.48625773598906
small-fft-a,small,fullft,a,27,0.8859375,0.2672381103038788,0.0005913476343266666,45.65863032906782,0.953125,0.890625,241.09375,0.0,10432.0,0.33647466800175607,45.65863032906782
small-fft-a,small,fullft,a,28,0.8546875,0.2679382562637329,0.0005818214849568903,45.107036448898725,0.953125,0.859375,319.140625,0.0,14272.0,0.343849691998912,45.107036448898725
small-fft-a,small,fullft,a,29,0.6265625,0.34870362281799316,0.00106064195279032,44.504588202922605,0.859375,0.640625,348.65625,0.0,14144.0,0.3422262579842936,44.504588202922605
small-fft-a,small,fullft,a,30,0.6171875,0.3041045069694519,0.0010041692294180393,43.32424234400969,0.921875,0.625,306.5,0.0,13760.0,0.3387711160175968,43.32424234400969
small-fft-a,small,fullft,a,31,0.8515625,0.2909771800041199,0.0009416340617462993,74.97054656408727,0.921875,0.859375,270.34375,0.0,15040.0,0.33767647299100645,74.97054656408727
small-fft-a,small,fullft,a,32,0.55,0.3412332832813263,0.0004088936548214406,68.93452804698609,0.875,0.5625,307.78125,0.0,13632.0,0.3401207829883788,68.93452804698609
small-fft-a,small,fullft,a,33,0.7921875,0.2937643229961395,0.00020237735589034855,43.28566130599938,0.953125,0.796875,247.4375,0.0,14272.0,0.3493378440034576,43.28566130599938
