run,group,config,replicate,step,density_pct,changed_elements,total_elements,layers
small-fft-b,small,fullft,b,12,3.026,18037160,596049920,249
small-fft-b,small,fullft,b,13,3.034,18083817,596049920,249
small-fft-b,small,fullft,b,14,2.892,17235975,596049920,246
small-fft-b,small,fullft,b,15,2.769,16501898,596049920,246
small-fft-b,small,fullft,b,16,2.793,16649782,596049920,247
small-fft-b,small,fullft,b,17,2.729,16264356,596049920,246
small-fft-b,small,fullft,b,18,2.597,15477838,596049920,246
small-fft-b,small,fullft,b,19,2.529,15075418,596049920,243
small-fft-b,small,fullft,b,20,2.403,14321280,596049920,247
small-fft-b,small,fullft,b,21,2.401,14310943,596049920,246
small-fft-b,small,fullft,b,22,2.373,14144025,596049920,247
small-fft-b,small,fullft,b,23,2.274,13552185,596049920,246
small-fft-b,small,fullft,b,24,2.21,13175605,596049920,247
small-fft-b,small,fullft,b,25,2.166,12908368,596049920,246
small-fft-b,small,fullft,b,26,2.069,12333163,596049920,247
small-fft-b,small,fullft,b,27,2.14,12758193,596049920,247
small-fft-b,small,fullft,b,28,2.159,12869419,596049920,247
small-fft-b,small,fullft,b,29,2.173,12952199,596049920,249
small-fft-b,small,fullft,b,30,2.119,12627644,596049920,247
small-fft-b,small,fullft,b,31,2.104,12539713,596049920,244
small-fft-b,small,fullft,b,32,2.034,12122746,596049920,244
small-fft-b,small,fullft,b,33,2.211,13177718,596049920,243
small-fft-b,small,fullft,b,34,2.146,12791320,596049920,245
small-fft-b,small,fullft,b,35,2.044,12184451,596049920,244
small-fft-b,small,fullft,b,36,2.138,12744863,596049920,243
small-fft-b,small,fullft,b,37,2.114,12598264,596049920,239
small-fft-b,small,fullft,b,38,2.067,12319776,596049920,245
small-fft-b,small,fullft,b,39,2.01,11982013,596049920,244
small-fft-b,small,fullft,b,40,2.025,12067843,596049920,244
